customer_segment,customer_count,avg_recency,avg_frequency,avg_monetary,total_revenue,revenue_share
Needs Attention,24081,416.2378223495702,1.0,210.97485361903577,5080485.45,24.68692126135445
Champions,12561,161.9885359445904,1.1363744924767136,380.9605835522649,4785245.89,23.25230328189405
At Risk High Value,12014,415.32254036956886,1.1058764774429832,361.8277451306809,4346998.53,21.122786688294433
Potential Loyalists,11828,161.4624619546838,1.0,342.11317889753127,4046514.68,19.66268583410172
Others,24065,287.56496987325994,1.007396634115936,65.19626428423021,1568948.1,7.623778985106959
Loyal Customers,11547,161.81432406685718,1.015761669697757,65.0793591409024,751471.36,3.651523949248382
